FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED,URBAN
2013,13,Aleutians East Borough,AK,ALASKA,0.1160,0.1058,0.0350,0.2300,0.4560,0
2016,16,Aleutians West Census Area,AK,ALASKA,0.1130,0.0704,0.0200,0.1640,0.1880,0
2020,20,Anchorage Borough,AK,ALASKA,0.1150,0.1272,0.0560,0.0580,0.1220,1
2050,50,Bethel Census Area,AK,ALASKA,0.2110,0.1049,0.1830,0.5650,0.2070,0
2060,60,Bristol Bay Borough,AK,ALASKA,0.1220,0.0433,0.0810,0.0990,0.1980,0
2068,68,Denali Borough,AK,ALASKA,0.1490,0.0405,0.0300,0.0330,0.1920,0
2070,70,Dillingham Census Area,AK,ALASKA,0.1610,0.1009,0.1190,0.3830,0.2240,0
2090,90,Fairbanks North Star Borough,AK,ALASKA,0.1150,0.1351,0.0700,0.0430,0.1000,1
2100,100,Haines Borough,AK,ALASKA,0.1330,0.0788,0.0370,0.0710,0.1550,0
2105,105,Hoonah-Angoon Census Area,AK,ALASKA,0.1550,0.0468,0.1090,0.3020,0.2510,0
2110,110,Juneau Borough,AK,ALASKA,0.1040,0.0980,0.0580,0.0900,0.1110,1
2122,122,Kenai Peninsula Borough,AK,ALASKA,0.1390,0.1220,0.0780,0.0660,0.1720,0
2130,130,Ketchikan Gateway Borough,AK,ALASKA,0.1310,0.1373,0.0660,0.1130,0.1320,1
2150,150,Kodiak Island Borough,AK,ALASKA,0.1230,0.1058,0.0520,0.0940,0.2030,0
2158,158,Kusilvak Census Area,AK,ALASKA,0.2800,0.0877,0.2890,0.8780,0.2110,0
2164,164,Lake and Peninsula Borough,AK,ALASKA,0.1730,0.0828,0.1570,0.4730,0.3160,0
2170,170,Matanuska-Susitna Borough,AK,ALASKA,0.1260,0.1351,0.0950,0.0330,0.1520,1
2180,180,Nome Census Area,AK,ALASKA,0.1910,0.1216,0.1670,0.5700,0.2250,0
2185,185,North Slope Borough,AK,ALASKA,0.1310,0.1010,0.0900,0.3820,0.2080,0
2188,188,Northwest Arctic Borough,AK,ALASKA,0.2120,0.0955,0.1870,0.6570,0.2760,0
2195,195,Petersburg Census Area,AK,ALASKA,0.1380,0.0948,0.0430,0.1580,0.0910,0
2198,198,Prince of Wales-Hyder Census Area,AK,ALASKA,0.1780,0.0828,0.1210,0.1080,0.2590,0
2220,220,Sitka Borough,AK,ALASKA,0.1100,0.1286,0.0440,0.1340,0.1830,0
2230,230,Skagway Municipality,AK,ALASKA,0.1300,0.0205,0.0680,0.0780,0.1890,0
2240,240,Southeast Fairbanks Census Area,AK,ALASKA,0.1480,0.0549,0.1020,0.0530,0.1560,0
2261,261,Valdez-Cordova Census Area,AK,ALASKA,0.1190,0.0625,0.0660,0.0710,0.1570,0
2275,275,Wrangell City,AK,ALASKA,0.1320,0.0720,0.0560,0.1380,0.1500,0
2282,282,Yakutat Borough,AK,ALASKA,0.1190,0.0386,0.0610,0.0910,0.2050,0
2290,290,Yukon-Koyukuk Census Area,AK,ALASKA,0.2200,0.0959,0.1880,0.5170,0.2920,0
1001,1,Autauga County,AL,ALABAMA,0.1560,0.1337,0.0420,0.0560,0.0710,1
1003,3,Baldwin County,AL,ALABAMA,0.1290,0.1117,0.0440,0.0340,0.1020,1
1005,5,Barbour County,AL,ALABAMA,0.2190,0.1427,0.0950,0.0920,0.1120,1
1007,7,Bibb County,AL,ALABAMA,0.1510,0.0874,0.0750,0.0600,0.0790,1
1009,9,Blount County,AL,ALABAMA,0.1360,0.0780,0.0410,0.0420,0.1100,1
1011,11,Bullock County,AL,ALABAMA,0.2050,0.1611,0.1110,0.1170,0.1080,0
1013,13,Butler County,AL,ALABAMA,0.1910,0.1056,0.0670,0.0780,0.1020,0
1015,15,Calhoun County,AL,ALABAMA,0.1740,0.1051,0.0880,0.0580,0.0940,1
1017,17,Chambers County,AL,ALABAMA,0.1640,0.1185,0.0500,0.0730,0.1080,1
1019,19,Cherokee County,AL,ALABAMA,0.1560,0.0823,0.0560,0.0410,0.0830,0
1021,21,Chilton County,AL,ALABAMA,0.1580,0.1206,0.0710,0.0490,0.1420,1
1023,23,Choctaw County,AL,ALABAMA,0.2070,0.0780,0.1060,0.1010,0.1140,0
1025,25,Clarke County,AL,ALABAMA,0.2110,0.1173,0.1440,0.1020,0.1080,0
1027,27,Clay County,AL,ALABAMA,0.1590,0.0716,0.0640,0.0420,0.1020,0
1029,29,Cleburne County,AL,ALABAMA,0.1750,0.0799,0.0750,0.0400,0.1280,0
1031,31,Coffee County,AL,ALABAMA,0.1560,0.0875,0.0590,0.0600,0.1010,1
1033,33,Colbert County,AL,ALABAMA,0.1640,0.1030,0.0590,0.0610,0.0810,1
1035,35,Conecuh County,AL,ALABAMA,0.1950,0.0789,0.1150,0.0680,0.1450,0
1037,37,Coosa County,AL,ALABAMA,0.1640,0.0923,0.0580,0.0440,0.0780,1
1039,39,Covington County,AL,ALABAMA,0.1770,0.1027,0.0870,0.0520,0.1120,0
1041,41,Crenshaw County,AL,ALABAMA,0.1660,0.0777,0.0580,0.0660,0.1000,0
1043,43,Cullman County,AL,ALABAMA,0.1510,0.0864,0.0550,0.0420,0.1180,1
1045,45,Dale County,AL,ALABAMA,0.1800,0.1086,0.0880,0.0550,0.1140,1
1047,47,Dallas County,AL,ALABAMA,0.2270,0.1572,0.1180,0.1350,0.1200,1
1049,49,DeKalb County,AL,ALABAMA,0.1660,0.0882,0.0450,0.0530,0.1450,1
1051,51,Elmore County,AL,ALABAMA,0.1430,0.1079,0.0620,0.0470,0.0820,1
1053,53,Escambia County,AL,ALABAMA,0.1940,0.0981,0.1350,0.0490,0.1550,0
1055,55,Etowah County,AL,ALABAMA,0.1660,0.0961,0.0650,0.0630,0.1040,1
1057,57,Fayette County,AL,ALABAMA,0.1830,0.1093,0.0700,0.0700,0.0880,0
1059,59,Franklin County,AL,ALABAMA,0.1570,0.0720,0.0610,0.0510,0.1280,1
1061,61,Geneva County,AL,ALABAMA,0.1900,0.1096,0.0860,0.0550,0.1370,1
1063,63,Greene County,AL,ALABAMA,0.2610,0.1880,0.1580,0.1500,0.1140,1
1065,65,Hale County,AL,ALABAMA,0.2070,0.1250,0.1190,0.1240,0.0880,1
1067,67,Henry County,AL,ALABAMA,0.1510,0.0966,0.0670,0.0550,0.1140,1
1069,69,Houston County,AL,ALABAMA,0.1690,0.1214,0.0700,0.0620,0.1040,1
1071,71,Jackson County,AL,ALABAMA,0.1720,0.0812,0.0590,0.0460,0.0960,1
1073,73,Jefferson County,AL,ALABAMA,0.1610,0.1456,0.0730,0.0770,0.0950,1
1075,75,Lamar County,AL,ALABAMA,0.1830,0.0640,0.0800,0.0710,0.0940,0
1077,77,Lauderdale County,AL,ALABAMA,0.1490,0.1090,0.0530,0.0700,0.0910,1
1079,79,Lawrence County,AL,ALABAMA,0.1650,0.0947,0.0570,0.0550,0.0820,1
1081,81,Lee County,AL,ALABAMA,0.1550,0.1577,0.0570,0.0460,0.0790,1
1083,83,Limestone County,AL,ALABAMA,0.1410,0.0923,0.0690,0.0360,0.0960,1
1085,85,Lowndes County,AL,ALABAMA,0.2340,0.1757,0.1150,0.1340,0.0920,1
1087,87,Macon County,AL,ALABAMA,0.2020,0.1569,0.1210,0.1300,0.0810,1
1089,89,Madison County,AL,ALABAMA,0.1360,0.1046,0.0580,0.0490,0.0890,1
1091,91,Marengo County,AL,ALABAMA,0.2010,0.1472,0.0970,0.1040,0.0960,0
1093,93,Marion County,AL,ALABAMA,0.1780,0.0937,0.0560,0.0470,0.1050,0
1095,95,Marshall County,AL,ALABAMA,0.1620,0.1100,0.0510,0.0480,0.1310,1
1097,97,Mobile County,AL,ALABAMA,0.1680,0.1431,0.0620,0.0670,0.1160,1
1099,99,Monroe County,AL,ALABAMA,0.2190,0.1583,0.1750,0.1100,0.1340,0
1101,101,Montgomery County,AL,ALABAMA,0.1780,0.1589,0.0760,0.0850,0.1050,1
1103,103,Morgan County,AL,ALABAMA,0.1490,0.0998,0.0520,0.0530,0.1020,1
1105,105,Perry County,AL,ALABAMA,0.2700,0.1929,0.1230,0.1420,0.1270,0
1107,107,Pickens County,AL,ALABAMA,0.1970,0.0946,0.1060,0.0970,0.0850,1
1109,109,Pike County,AL,ALABAMA,0.1880,0.1612,0.0800,0.0780,0.0960,1
1111,111,Randolph County,AL,ALABAMA,0.1560,0.1051,0.0500,0.0700,0.1050,0
1113,113,Russell County,AL,ALABAMA,0.1820,0.1642,0.0780,0.0980,0.1340,1
1117,117,Shelby County,AL,ALABAMA,0.1060,0.0863,0.0400,0.0290,0.0680,1
1115,115,St. Clair County,AL,ALABAMA,0.1410,0.0956,0.0530,0.0300,0.0880,1
1119,119,Sumter County,AL,ALABAMA,0.2300,0.1613,0.1210,0.1320,0.1550,0
1121,121,Talladega County,AL,ALABAMA,0.1770,0.1228,0.0880,0.0790,0.0930,1
1123,123,Tallapoosa County,AL,ALABAMA,0.1750,0.1110,0.1040,0.0900,0.0810,1
1125,125,Tuscaloosa County,AL,ALABAMA,0.1480,0.1493,0.0630,0.0580,0.0750,1
1127,127,Walker County,AL,ALABAMA,0.1800,0.1025,0.0880,0.0570,0.1100,1
1129,129,Washington County,AL,ALABAMA,0.1930,0.0663,0.0850,0.0370,0.0960,0
1131,131,Wilcox County,AL,ALABAMA,0.2470,0.0984,0.1550,0.1610,0.1160,0
1133,133,Winston County,AL,ALABAMA,0.1710,0.0883,0.0760,0.0710,0.1230,0
5001,1,Arkansas County,AR,ARKANSAS,0.1930,0.1141,0.0630,0.1030,0.0680,0
5003,3,Ashley County,AR,ARKANSAS,0.1960,0.1108,0.0690,0.0860,0.0920,0
5005,5,Baxter County,AR,ARKANSAS,0.1630,0.0832,0.0430,0.0370,0.0560,1
5007,7,Benton County,AR,ARKANSAS,0.1160,0.0837,0.0270,0.0320,0.0940,1
5009,9,Boone County,AR,ARKANSAS,0.1590,0.0839,0.0440,0.0560,0.0680,1
5011,11,Bradley County,AR,ARKANSAS,0.1960,0.1235,0.0800,0.0930,0.1150,0
5013,13,Calhoun County,AR,ARKANSAS,0.1690,0.0715,0.0610,0.0570,0.0820,1
5015,15,Carroll County,AR,ARKANSAS,0.1440,0.0833,0.0470,0.0530,0.1240,0
5017,17,Chicot County,AR,ARKANSAS,0.2390,0.1460,0.0970,0.1600,0.0890,0
5019,19,Clark County,AR,ARKANSAS,0.1750,0.1126,0.0270,0.0700,0.0860,1
5021,21,Clay County,AR,ARKANSAS,0.1990,0.1109,0.0500,0.0880,0.0690,0
5023,23,Cleburne County,AR,ARKANSAS,0.1610,0.0845,0.0470,0.0280,0.0920,0
5025,25,Cleveland County,AR,ARKANSAS,0.1750,0.0640,0.0550,0.0530,0.0510,1
5027,27,Columbia County,AR,ARKANSAS,0.1980,0.1529,0.1020,0.0530,0.0820,1
5029,29,Conway County,AR,ARKANSAS,0.1850,0.0910,0.0590,0.0700,0.0740,0
5031,31,Craighead County,AR,ARKANSAS,0.1680,0.1209,0.0580,0.0760,0.0930,1
5033,33,Crawford County,AR,ARKANSAS,0.1600,0.0962,0.0510,0.0390,0.0890,1
5035,35,Crittenden County,AR,ARKANSAS,0.1930,0.1458,0.0940,0.1080,0.0910,1
